,name,maker,model,kind
0,E클래스,벤츠,E-클래스,"['Coupe', 'Sedan']"
1,넥소,현대,넥쏘,['Mid-Large suv']
2,봉고3,기아,,
3,포터2,현대,,
4,E220,벤츠,E-클래스,"['Coupe', 'Sedan']"
5,SOUL,기아,쏘울,['Small suv']
6,그랜져,현대,그랜저,['Sedan']
7,더뉴소렌토,기아,쏘렌토,['Mid-Large suv']
8,포터,현대,,
9,E300,벤츠,E-클래스,"['Coupe', 'Sedan']"
10,GLA,벤츠,GLA-클래스,['Small suv']
11,S클래스,벤츠,S-클래스,"['Coupe', 'Sedan']"
12,GLE,벤츠,GLE-클래스,['Mid-Large suv']
13,320d,BMW,3 시리즈,['Sedan']
14,YF소나타,현대,쏘나타,['Sedan']
15,그랜져TG,현대,그랜저,['Sedan']
16,C클래스,벤츠,C-클래스,"['Coupe', 'Sedan']"
17,C220,벤츠,C-클래스,"['Coupe', 'Sedan']"
18,현대 그랜져,현대,그랜저,['Sedan']
19,현대 포터2,현대,,
20,기아 더뉴소렌토,기아,쏘렌토,['Mid-Large suv']
21,벤츠 new E-Class,벤츠,E-클래스,"['Coupe', 'Sedan']"
22,벤츠 new C-Class,벤츠,C-클래스,"['Coupe', 'Sedan']"
23,BMW 7시리즈,BMW,7 시리즈,['Sedan']
24,BMW3시리즈,BMW,3 시리즈,['Sedan']
25,벤츠 new S-Class,벤츠,S-클래스,"['Coupe', 'Sedan']"
26,NIRO,기아,니로,['Small suv']
27,소나타 뉴라이즈,현대,쏘나타,['Sedan']
28,소나타하이브리드,현대,쏘나타,['Sedan']
29,오디세이,혼다,오딧세이,['van']
30,LF소나타,현대,쏘나타,['Sedan']
31,렉스턴,쌍용,렉스턴,['Mid-Large suv']
32,K7,기아,K7,['Sedan']
33,투싼,현대,투싼,['Mid-Large suv']
34,그랜저 IG,현대,그랜저,['Sedan']
35,레이,기아,레이,['Sedan']
36,더뉴그랜저(IG),현대,그랜저,['Sedan']
37,쏘나타 dn8,현대,쏘나타,['Sedan']
38,G90,제네시스,G90,['Sedan']
39,제네시스,현대,제네시스,['Sedan']
40,팰리세이드,현대,팰리세이드,['Mid-Large suv']
41,기아 어반 모닝 JA,기아,모닝,['Sedan']
42,티볼리,쌍용,티볼리,['Small suv']
43,모닝,기아,모닝,['Sedan']
44,현대 투싼,현대,투싼,['Mid-Large suv']
45,아반떼,현대,아반떼,"['Coupe', 'Sedan']"
46,현대 싼타페 DM,현대,싼타페,['Mid-Large suv']
47,스파크,쉐보레/한국GM,스파크,['Sedan']
48,현대 쏘나타 LF,현대,쏘나타,['Sedan']
49,기아 트럭 3 EV 1열 봉고 PU,기아,1열 봉고,['One row truck']
50,현대 더 뉴 그랜저 IG,현대,그랜저,['Sedan']
51,스타렉스,현대,스타렉스,['van']
52,벨로스터,현대,벨로스터,['Sedan']
53,현대 올뉴 아반떼 CN7,현대,아반떼,"['Coupe', 'Sedan']"
54,K3,기아,K3,['Sedan']
55,올뉴카니발,기아,카니발,['van']
56,현대 쏘나타 DN8,현대,쏘나타,['Sedan']
57,기아 K7,기아,K7,['Sedan']
58,현대 F/L 싼타페 TM,현대,싼타페,['Mid-Large suv']
59,뉴카니발,기아,카니발,['van']
60,코나,현대,코나,['Small suv']
61,기아 스토닉,기아,스토닉,['Small suv']
62,카니발,기아,카니발,['van']
63,현대 싼타페 TM,현대,싼타페,['Mid-Large suv']
64,현대 그랜저 IG,현대,그랜저,['Sedan']
65,기아 셀토스 SP2,기아,셀토스,['Small suv']
66,니로 하이브리드,기아,니로,['Small suv']
67,기아 더볼드 스포티지 QL,기아,스포티지,['Mid-Large suv']
68,파나메라,포르쉐,파나메라,['Sedan']
69,현대 그랜저,현대,그랜저,['Sedan']
70,현대 더 뉴 코나 OS,현대,코나,['Small suv']
71,이쿼녹스,쉐보레/한국GM,이쿼녹스,['Small suv']
72,크루즈,쉐보레/한국GM,크루즈,['Sedan']
73,기아 쏘렌토,기아,쏘렌토,['Mid-Large suv']
74,그랜드스타렉스,현대,스타렉스,['van']
75,520d,BMW,5 시리즈,['Sedan']
76,말리부,쉐보레/한국GM,말리부,['Sedan']
77,더뉴카니발,기아,카니발,['van']
78,에쿠스,현대,에쿠스,['Sedan']
79,G4렉스턴,쌍용,렉스턴,['Mid-Large suv']
80,기아 셀토스,기아,셀토스,['Small suv']
81,쉐보레/한국GM 트랙스,쉐보레/한국GM,트랙스,['Small suv']
82,티볼리에어,쌍용,티볼리,['Small suv']
83,트랙스,쉐보레/한국GM,트랙스,['Small suv']
84,기아 4세대 쏘렌토 MQ4,기아,쏘렌토,['Mid-Large suv']
85,싼타페 TM,현대,싼타페,['Mid-Large suv']
86,현대 더 뉴 HEV 그랜저 IG,현대,그랜저,['Sedan']
87,현대 슈퍼캡 2 일렉트릭 1열 포터 HR,현대,1열 포터,['One row truck']
88,올뉴모닝,기아,모닝,['Sedan']
89,카니발리무진,기아,카니발,['van']
90,쏘렌토,기아,쏘렌토,['Mid-Large suv']
91,기아 올뉴 K3 BD,기아,K3,['Sedan']
92,현대 넥쏘,현대,넥쏘,['Mid-Large suv']
93,티볼리아머,쌍용,티볼리,['Small suv']
94,코란도,쌍용,코란도,"['Mid-Large suv', 'Small suv']"
95,기아 더뉴 레이 TAM,기아,레이,['Sedan']
96,기아 레이,기아,레이,['Sedan']
97,싼타페,현대,싼타페,['Mid-Large suv']
98,CLA클래스,벤츠,CLA-클래스,['Sedan']
99,현대 1열 포터,현대,1열 포터,['One row truck']
100,현대 싼타페,현대,싼타페,['Mid-Large suv']
101,현대 아반떼,현대,아반떼,"['Coupe', 'Sedan']"
102,기아 올뉴 모닝 TA,기아,모닝,['Sedan']
103,BMW 3 시리즈 G20,BMW,3 시리즈,['Sedan']
104,기아 R 쏘렌토 XM,기아,쏘렌토,['Mid-Large suv']
105,아우디 A3,아우디,A3,['Sedan']
106,뉴모닝,기아,모닝,['Sedan']
107,기아 더 뉴 HEV 니로 DE,기아,니로,['Small suv']
108,모하비,기아,모하비,['Mid-Large suv']
109,현대 스타렉스,현대,스타렉스,['van']
110,니로,기아,니로,['Small suv']
111,현대 코나,현대,코나,['Small suv']
112,현대 팰리세이드,현대,팰리세이드,['Mid-Large suv']
113,K9,기아,K9,['Sedan']
114,New코란도,쌍용,코란도,"['Mid-Large suv', 'Small suv']"
115,현대 더블캡 2 2열 포터 HR,현대,2열 포터,['Two row truck']
116,쏘나타,현대,쏘나타,['Sedan']
117,현대 쏘나타 NF,현대,쏘나타,['Sedan']
118,쌍용 티볼리,쌍용,티볼리,['Small suv']
119,현대 더뉴그랜드 스타렉스 TQ,현대,스타렉스,['van']
120,현대 HEV 쏘나타 DN8,현대,쏘나타,['Sedan']
121,그랜드카니발,기아,카니발,['van']
122,쌍용 G4 렉스턴 Y400,쌍용,렉스턴,['Mid-Large suv']
123,기아 카니발,기아,카니발,['van']
124,현대 넥쏘 FE,현대,넥쏘,['Mid-Large suv']
125,포르테,기아,포르테,['Sedan']
126,기아 니로,기아,니로,['Small suv']
127,올뉴쏘렌토,기아,쏘렌토,['Mid-Large suv']
128,싼타페 DM,현대,싼타페,['Mid-Large suv']
129,기아 1열 봉고,기아,1열 봉고,['One row truck']
130,기아 프리미어 K7 YG,기아,K7,['Sedan']
131,올뉴K7,기아,K7,['Sedan']
132,아반떼 MD,현대,아반떼,"['Coupe', 'Sedan']"
133,코란도C,쌍용,코란도,"['Mid-Large suv', 'Small suv']"
134,기아 스포티지,기아,스포티지,['Mid-Large suv']
135,쉐보레/한국GM 스파크,쉐보레/한국GM,스파크,['Sedan']
136,현대 슈퍼캡 2 1열 포터 HR,현대,1열 포터,['One row truck']
137,뉴스포티지 R,기아,스포티지,['Mid-Large suv']
138,기아 EV 니로 DE,기아,니로,['Small suv']
139,현대 아반떼 AD,현대,아반떼,"['Coupe', 'Sedan']"
140,올란도,쉐보레,올란도,['Small suv']
141,기아 트럭 3 1열 봉고 PU,기아,1열 봉고,['One row truck']
142,현대 그랜저 HG,현대,그랜저,['Sedan']
143,벤츠 C-클래스,벤츠,C-클래스,"['Coupe', 'Sedan']"
144,기아 뉴R 쏘렌토 XM,기아,쏘렌토,['Mid-Large suv']
145,현대 싼타페 CM,현대,싼타페,['Mid-Large suv']
146,현대 코나 OS,현대,코나,['Small suv']
147,아이오닉,현대,아이오닉,['Sedan']
148,기아 올뉴 쏘렌토 UM,기아,쏘렌토,['Mid-Large suv']
149,아우디 A6,아우디,A6,['Sedan']
150,기아 2열 봉고,기아,2열 봉고,['Two row truck']
151,현대 아반떼 MD,현대,아반떼,"['Coupe', 'Sedan']"
152,쏘렌토R,기아,쏘렌토,['Mid-Large suv']
153,스포티지,기아,스포티지,['Mid-Large suv']
154,기아 모하비 HM,기아,모하비,['Mid-Large suv']
155,현대 그랜저 TG,현대,그랜저,['Sedan']
156,기아 K3,기아,K3,['Sedan']
157,현대 2열 포터,현대,2열 포터,['Two row truck']
158,벤츠 S-클래스,벤츠,S-클래스,"['Coupe', 'Sedan']"
159,볼트EV,쉐보레/한국GM,볼트,['Sedan']
160,기아 올뉴 카니발 YP,기아,카니발,['van']
161,현대 쏘나타,현대,쏘나타,['Sedan']
162,기아 4세대 HEV 쏘렌토 MQ4,기아,쏘렌토,['Mid-Large suv']
163,토요타 RAV4,토요타,RAV4,['Mid-Large suv']
164,뉴스포티지,기아,스포티지,['Mid-Large suv']
165,스토닉,기아,스토닉,['Small suv']
166,프라이드,기아,프라이드,['Sedan']
167,아슬란,현대,아슬란,['Sedan']
168,더넥스트스파크,쉐보레/한국GM,스파크,['Sedan']
169,기아 마이스터 스팅어 CK,기아,스팅어,['Sedan']
170,현대 신형 에쿠스 VI,현대,에쿠스,['Sedan']
171,THE K9,기아,K9,['Sedan']
172,벤츠 E-클래스,벤츠,E-클래스,"['Coupe', 'Sedan']"
173,포드 All New 익스플로러,포드,익스플로러,['Mid-Large suv']
174,스팅어,기아,스팅어,['Sedan']
175,올뉴스포티지,기아,스포티지,['Mid-Large suv']
176,현대 EV 코나 OS,현대,코나,['Small suv']
177,토요타 RAV4 2019년형,토요타,RAV4,['Mid-Large suv']
178,알페온,쉐보레/한국GM,알페온,['Sedan']
179,스포티지R,기아,스포티지,['Mid-Large suv']
180,올뉴K3,기아,K3,['Sedan']
181,현대 베뉴,현대,베뉴,['Small suv']
182,현대 트랜스폼 쏘나타 NF,현대,쏘나타,['Sedan']
183,현대 쏘나타 YF,현대,쏘나타,['Sedan']
184,토요타 RAV4 2020년형,토요타,RAV4,['Mid-Large suv']
185,더뉴레이,기아,레이,['Sedan']
186,익스플로러,포드,익스플로러,['Mid-Large suv']
187,현대 더럭셔리 그랜저 TG,현대,그랜저,['Sedan']
188,쌍용 렉스턴,쌍용,렉스턴,['Mid-Large suv']
189,기아 모닝,기아,모닝,['Sedan']
190,캠리,토요타,캠리,['Sedan']
191,아발론,토요타,아발론,['Sedan']
192,토요타 캠리,토요타,캠리,['Sedan']
193,현대 아반떼 HD,현대,아반떼,"['Coupe', 'Sedan']"
194,싼타페TM,현대,싼타페,['Mid-Large suv']
195,로체,기아,로체,['Sedan']
196,토요타 캠리 2020년형,토요타,캠리,['Sedan']
197,그랜저IG,현대,그랜저,['Sedan']
198,아반떼ad,현대,아반떼,"['Coupe', 'Sedan']"
199,K7하이브리드,기아,K7,['Sedan']
200,기아 더뉴 카니발 YP,기아,카니발,['van']
201,싼타페DM,현대,싼타페,['Mid-Large suv']
202,아우디 A4,아우디,A4,['Sedan']
203,그랜저HG,현대,그랜저,['Sedan']
204,쌍용 코란도,쌍용,코란도,"['Mid-Large suv', 'Small suv']"
205,기아 뉴 모닝 SA,기아,모닝,['Sedan']
206,싼타페CM,현대,싼타페,['Mid-Large suv']
207,그랜저IG하이브리드,현대,그랜저,['Sedan']
208,투싼IX,현대,투싼,['Mid-Large suv']
209,GLC,벤츠,GLC-클래스,['Mid-Large suv']
210,아반떼HD,현대,아반떼,"['Coupe', 'Sedan']"
211,현대 뉴라이즈 쏘나타 LF,현대,쏘나타,['Sedan']
212,기아 더뉴 K7 VG,기아,K7,['Sedan']
213,르노삼성 SM7,르노삼성,SM7,['Sedan']
214,CR-V,혼다,CR-V,['Small suv']
215,현대 제네시스 DH,현대,제네시스,['Sedan']
216,랜드로버 디스커버리,랜드로버,디스커버리,['Mid-Large suv']
217,기아 오피러스,기아,오피러스,['Sedan']
218,쏘나타LF,현대,쏘나타,['Sedan']
219,NF쏘나타,현대,쏘나타,['Sedan']
220,현대 제네시스 BH,현대,제네시스,['Sedan']
221,스포티지QL,기아,스포티지,['Mid-Large suv']
222,현대 쏘나타 dn8,현대,쏘나타,['Sedan']
223,현대 싼타페TM,현대,싼타페,['Mid-Large suv']
224,기아 K9,기아,K9,['Sedan']
225,기아 R 스포티지 SL,기아,스포티지,['Mid-Large suv']
226,현대 제네시스,현대,제네시스,['Sedan']
227,현대 그랜저IG하이브리드,현대,그랜저,['Sedan']
228,현대 그랜저IG,현대,그랜저,['Sedan']
229,기아 더뉴카니발,기아,카니발,['van']
230,현대 더뉴그랜저(IG),현대,그랜저,['Sedan']
231,SM7,르노삼성,SM7,['Sedan']
232,기아 쏘렌토 mq4,기아,쏘렌토,['Mid-Large suv']
233,기아 모하비,기아,모하비,['Mid-Large suv']
234,현대 벨로스터,현대,벨로스터,['Sedan']
235,아우디 Q7,아우디,Q7,['Mid-Large suv']
236,현대 엑센트,현대,엑센트,['Sedan']
237,쌍용 G4렉스턴,쌍용,렉스턴,['Mid-Large suv']
238,볼보 XC60,볼보,XC60,['Mid-Large suv']
239,기아 올뉴모닝,기아,모닝,['Sedan']
240,벤츠 E-클래스 세단 W213,벤츠,E-클래스,"['Coupe', 'Sedan']"
241,기아 올뉴K7,기아,K7,['Sedan']
242,현대 엑센트 RB,현대,엑센트,['Sedan']
243,현대 아이오닉,현대,아이오닉,['Sedan']
244,폭스바겐 티구안,폭스바겐,티구안,['Mid-Large suv']
245,기아 스팅어,기아,스팅어,['Sedan']
246,현대 스타렉스 TQ,현대,스타렉스,['van']
247,쉐보레/한국GM 2세대 트래버스,쉐보레/한국GM,트래버스,['Mid-Large suv']
248,테슬라 모델 3,테슬라,모델 3,['Sedan']
249,쉐보레/한국GM 콜로라도,쉐보레/한국GM,콜로라도,['Mid-Large suv']
250,BMW X6,BMW,X6,['Mid-Large suv']
251,볼보 XC90,볼보,XC90,['Mid-Large suv']
252,현대 아반떼ad,현대,아반떼,"['Coupe', 'Sedan']"
253,쉐보레/한국GM 트래버스,쉐보레/한국GM,트래버스,['Mid-Large suv']
254,현대 HEV 코나 OS,현대,코나,['Small suv']
255,현대 N 벨로스터 JS,현대,벨로스터,['Sedan']
256,RAV4,토요타,RAV4,['Mid-Large suv']
257,기아 더 뉴 니로 DE,기아,니로,['Small suv']
258,현대 에쿠스,현대,에쿠스,['Sedan']
259,윈스톰,쉐보레/한국GM,윈스톰,['Mid-Large suv']
260,현대 더뉴 아반떼 AD,현대,아반떼,"['Coupe', 'Sedan']"
261,기아 포르테,기아,포르테,['Sedan']
