,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
0,S60,S60,볼보,0,0,Sedan,2,S60,볼보
1,6시리즈 그란투리스모(GT),그란투리스모,마세라티,0,0,Sedan,2,6 시리즈 GT,BMW
2,BMW 5 시리즈 GT,5 시리즈 GT,BMW,0,0,Sedan,4,5 시리즈 GT,BMW
3,르노삼성 뉴 QM5 H45,QM5,르노삼성,0,0,Small suv,3,QM5,르노삼성
4,쌍용 뉴스타일C 코란도 C200,코란도,쌍용,0,0,Small suv,2,코란도,쌍용
5,랜드로버 레인지로버스포츠,레인지로버,랜드로버,0,0,Mid-Large suv,2,레인지로버 스포츠,랜드로버
6,BMWX5,X5,BMW,0,0,Mid-Large suv,2,X5,BMW
7,BMW X5 E70,X5,BMW,0,0,Mid-Large suv,2,X5,BMW
8,르노삼성 뉴F/L SM3 L38,SM3,르노삼성,0,0,Sedan,2,SM3,르노삼성
9,랜드로버 레인지로버 보그,레인지로버 보그,랜드로버,0,0,Mid-Large suv,2,레인지로버 보그,랜드로버
10,현대 4세대(2020년상반기예정) 투싼 NX4,NX,렉서스,0,0,Mid-Large suv,3,투싼,현대
11,쌍용 렉스턴 Y200,0,0,0,0,,2,렉스턴,쌍용
12,Audi S4,S4,아우디,0,0,Sedan,2,S4,아우디
13,벤츠 더뉴 C-클래스 카브리올레 A205,C-클래스,벤츠,0,0,Sedan,3,C-클래스,벤츠
14,기아 부스터 EV 쏘울 SK3,K3,기아,부스터 EV,SK3,Sedan,2,쏘울,기아
15,벤츠 C-클래스 쿠페 C204,C-클래스,벤츠,0,0,Sedan,2,C-클래스,벤츠
16,벤츠 B-클래스 W245,B-클래스,벤츠,0,0,Small suv,2,B-클래스,벤츠
17,볼보 FH500,0,0,0,0,,2,FH,볼보
18,현대 i40 VF,i40,현대,0,0,Sedan,2,i40,현대
19,쌍용 뉴W 체어맨 W200,체어맨,쌍용,0,0,Sedan,2,체어맨,쌍용
20,폭스바겐 파사트 2008년형,2008,푸조,0,0,Small suv,3,파사트,폭스바겐
21,랜드로버 디스커버리 스포츠 2019년형,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv,3,디스커버리 스포츠,랜드로버
22,쌍용 액티언 스포츠,액티언 스포츠,쌍용,0,0,Mid-Large suv,3,액티언 스포츠,쌍용
23,푸조 308SW,308SW,푸조,0,0,Small suv,2,308SW,푸조
24,LS500,0,0,0,0,,4,LS,렉서스
25,볼보 S40,S40,볼보,0,0,Sedan,2,S40,볼보
26,볼보 XC90 2006년형,XC90,볼보,0,0,Mid-Large suv,2,XC90,볼보
27,쉐보레/대우 알페온 VS300,알페온,쉐보레/한국GM,0,0,Sedan,2,알페온,쉐보레/한국GM
28,벤츠 E-클래스 W212/C207/A207,E-클래스,벤츠,0,0,Sedan,2,E-클래스,벤츠
29,벤츠 CLS-클래스 2019년형,CLS-클래스,벤츠,0,0,Sedan,4,CLS-클래스,벤츠
30,Audi S6,S6,아우디,0,0,Sedan,2,S6,아우디
31,현대 i30cw,i30,현대,0,0,Sedan,3,i30,현대
32,지프 그랜드 체로키 2020년형,그랜드 체로키,지프,0,0,Mid-Large suv,2,그랜드 체로키,지프
33,BMW X6 M F96,X6 M,BMW,0,0,Mid-Large suv,2,X6 M,BMW
34,아우디 Q5 FY,Q5,아우디,0,0,Mid-Large suv,2,Q5,아우디
35,벤츠 GLB-클래스,GLB-클래스,벤츠,0,0,Small suv,2,GLB-클래스,벤츠
36,미니 쿠퍼 컨버터블,쿠퍼 컨버터블,미니,0,0,Coupe,3,쿠퍼 컨버터블,미니
37,볼보 XC40 2020년형,XC40,볼보,0,0,Mid-Large suv,2,XC40,볼보
38,랜드로버 디스커버리 스포츠 2016년형,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv,3,디스커버리 스포츠,랜드로버
39,랜드로버 레인지로버 2015년형,레인지로버,랜드로버,0,0,Mid-Large suv,2,레인지로버,랜드로버
40,BMW X4 M 40d G02,X4 M,BMW,0,40d G02,Mid-Large suv,2,X4 M,BMW
41,렉서스 GS 2015년형,GS,렉서스,0,0,Sedan,2,GS,렉서스
42,캐딜락 CT5 2021년형,CT5,캐딜락,0,0,Sedan,3,CT5,캐딜락
43,볼보XC40,XC40,볼보,0,0,Mid-Large suv,2,XC40,볼보
44,맥라렌 570S,570S,맥라렌,0,0,Coupe,2,570S,맥라렌
45,벤츠 M-클래스 W166,M-클래스,벤츠,0,0,Mid-Large suv,2,M-클래스,벤츠
46,시트로엥 C5 에어크로스 2021년형,C5 에어크로스,시트로엥,0,0,Mid-Large suv,2,C5 에어크로스,시트로엥
47,미니 쿠퍼 R56,0,0,0,0,,3,쿠퍼,미니
48,재규어 XF 2015년형,XF,재규어,0,0,Sedan,2,XF,재규어
49,벤츠 S-클래스 C222 S63 AMG 쿠페,S-클래스,벤츠,0,0,Sedan,4,S-클래스,벤츠
50,BMW X6 M F86,X6 M,BMW,0,0,Mid-Large suv,2,X6 M,BMW
51,BMW M8 G15,M8,BMW,0,0,Coupe,2,M8,BMW
52,볼보 S80 2013년형,S80,볼보,0,0,Sedan,2,S80,볼보
53,렉서스 ES 2009년형,0,0,0,0,,2,ES,렉서스
54,벤츠 더뉴 C-클래스 쿠페 C205,C-클래스,벤츠,0,0,Sedan,4,C-클래스,벤츠
55,아우디 Q5 2017년형,Q5,아우디,0,0,Mid-Large suv,2,Q5,아우디
56,벤츠 CL-클래스,CL-클래스,벤츠,0,0,Sedan,2,CL-클래스,벤츠
57,시트로엥 C4 피카소,C4 피카소,시트로엥,0,0,van,2,C4 피카소,시트로엥
58,닛산 캐시카이 Z11,캐시카이,닛산,0,0,Small suv,2,캐시카이,닛산
59,캐딜락 CTS 2019년형,CTS,캐딜락,0,0,Sedan,2,CTS,캐딜락
60,현대 쿠페 아반떼 JK,아반떼,현대,0,0,Sedan,2,아반떼,현대
61,푸조 307SW 2019년형,307SW,푸조,0,0,Small suv,2,307SW,푸조
62,아우디 A5 2014년형,A5,아우디,0,0,Sedan,2,A5,아우디
63,랜드로버 레인지로버 벨라 2018년형,레인지로버 벨라,랜드로버,0,0,Mid-Large suv,2,레인지로버 벨라,랜드로버
64,벤틀리 컨티넨탈 GT,컨티넨탈 GT,벤틀리,0,0,Coupe,3,컨티넨탈 GT,벤틀리
65,벤츠 GLC-클래스 X253/C253,GLC-클래스,벤츠,0,0,Mid-Large suv,5,GLC-클래스,벤츠
66,아우디 A5 2019년형,A5,아우디,0,0,Sedan,2,A5,아우디
67,쉐보레/한국GM 젠트라 T250,젠트라,쉐보레/한국GM,0,0,Sedan,2,젠트라,쉐보레/한국GM
68,벤츠 GLE-클래스 2015년형,GLE-클래스,벤츠,0,0,Mid-Large suv,3,GLE-클래스,벤츠
69,현대 쿠페 아반떼 MD,아반떼,현대,0,0,Sedan,2,아반떼,현대
70,링컨 MKX 2015년형,MKX,링컨,0,0,Mid-Large suv,2,MKX,링컨
71,벤츠 M-클래스 2015년형,M-클래스,벤츠,0,0,Mid-Large suv,2,M-클래스,벤츠
72,아우디 TT 2008년형,2008,푸조,0,0,Small suv,3,TT,아우디
73,인피니티 FX 2006년형,0,0,0,0,,2,FX,인피니티
74,미니 2열 쿠퍼 2019년형,2열 쿠퍼,미니,0,0,Sedan,3,2열 쿠퍼,미니
75,인피니티 M 시리즈 2015년형,M 시리즈,인피니티,0,0,Sedan,2,M 시리즈,인피니티
76,아우디 A7 2015년형,A7,아우디,0,0,Sedan,2,A7,아우디
77,렉서스 LS 2007년형,0,0,0,0,,2,LS,렉서스
78,닛산 맥시마 2019년형,맥시마,닛산,0,0,Sedan,2,맥시마,닛산
79,랜드로버 레인지로버 이보크 2019년형,레인지로버 이보크,랜드로버,0,0,Mid-Large suv,2,레인지로버 이보크,랜드로버
80,NeoSM3L38,SM3,르노삼성,0,0,Sedan,2,SM3,르노삼성
81,더마스터 쏘렌토 UM,쏘렌토,기아,0,UM,Mid-Large suv,2,쏘렌토,기아
82,A8 2015년형,A8,아우디,0,0,Sedan,2,A8,아우디
83,GLE-클래스,GLE-클래스,벤츠,0,0,Mid-Large suv,2,GLE-클래스,벤츠
84,Audi A8 6.0,A8,아우디,0,0,Sedan,2,A8,아우디
85,2011미니컨트리맨,컨트리맨,미니,0,0,Small suv,2,컨트리맨,미니
86,LC500,0,0,0,0,,3,LC,렉서스
87,RX450,0,0,0,0,,3,RX,렉서스
88,포르테 쿠페,포르테,토요타,0,0,Sedan,2,포르테 쿱,기아
89,쌍용 뉴 렉스턴 Y200,0,0,0,0,,2,렉스턴,쌍용
90,지프 체로키 2007년형,0,0,0,0,,2,체로키,지프
91,마세라티 기블리 2015년형,기블리,마세라티,0,0,Sedan,3,기블리,마세라티
92,혼다 S660 2021년형,S660,혼다,0,0,Coupe,2,S660,혼다
93,동풍소콘 펜곤 ix5,펜곤 ix5,동풍소콘,0,0,Mid-Large suv,3,펜곤 ix5,동풍소콘
94,포르쉐 911 2007년형,0,0,0,0,,2,911,포르쉐
95,쉐보레/한국GM 매그너스 V200,매그너스,쉐보레/한국GM,0,0,Sedan,2,매그너스,쉐보레/한국GM
96,푸조 2008 2018년형,2008,푸조,0,0,Small suv,2,2008,푸조
97,벤틀리 컨티넨탈 GT 2012년형,컨티넨탈 GT,벤틀리,0,0,Coupe,3,컨티넨탈 GT,벤틀리
98,미니쿠퍼 D,0,0,0,0,,2,쿠퍼,미니
99,랜드로버 레인지로버 스포츠 2008년형,레인지로버 스포츠,랜드로버,0,0,Mid-Large suv,5,레인지로버 스포츠,랜드로버
100,토요타 캠리 2009년형,0,0,0,0,,2,캠리,토요타
101,기아 4세대(출시예정) 카니발 KA4,카니발,기아,0,0,van,2,카니발,기아
102,벤츠 E-클래스 쿠페 C207,E-클래스,벤츠,0,0,Sedan,3,E-클래스,벤츠
103,피아트 500X 2016년형,500X,피아트,0,0,Small suv,3,500X,피아트
104,크라이슬러 300C 2008년형,300C,크라이슬러,0,0,Sedan,3,300C,크라이슬러
105,아우디 Q5 2012년형,Q5,아우디,0,0,Mid-Large suv,2,Q5,아우디
106,기아 봉고 버스 CT,봉고 버스,기아,0,0,van,2,봉고 버스,기아
107,혼다 시빅 2008년형,2008,푸조,0,0,Small suv,3,시빅,혼다
108,폭스바겐 파사트 2007년형,0,0,0,0,,2,파사트,폭스바겐
109,아반떼XD스포츠,아반떼,현대,0,0,Sedan,2,아반떼,현대
110,캐딜락 BLS 2020년형,BLS,캐딜락,0,0,Sedan,2,BLS,캐딜락
111,인피니티 FX 2009년형,0,0,0,0,,2,FX,인피니티
112,아우디 R8 2008년형,2008,푸조,0,0,Small suv,3,R8,아우디
113,벤츠 SLC-클래스 2019년형,SLC-클래스,벤츠,0,0,Coupe,3,SLC-클래스,벤츠
114,미니 쿠퍼 2014년형,0,0,0,0,,2,쿠퍼,미니
115,렉서스 IS 2015년형,IS,렉서스,0,0,Sedan,2,IS,렉서스
116,볼보 S60 2015년형,S60,볼보,0,0,Sedan,3,S60,볼보
117,쉐보레/대우 맥스 윈스톰 C105,윈스톰,쉐보레/한국GM,0,0,Mid-Large suv,2,윈스톰,쉐보레/한국GM
118,미니 컨트리맨 2015년형,컨트리맨,미니,0,0,Small suv,3,컨트리맨,미니
119,미니 1열 쿠퍼 2019년형,0,0,0,0,,2,쿠퍼,미니
120,벤츠 E-클래스 2015년형,E-클래스,벤츠,0,0,Sedan,2,E-클래스,벤츠
121,SM5 L43 노바,SM5,르노삼성,0,0,Sedan,3,SM5,르노삼성
122,SM5 ,SM5,르노삼성,0,0,Sedan,3,SM5,르노삼성
123,5 시리즈 ,5 시리즈,BMW,0,0,Sedan,2,5 시리즈,BMW
124,VQ35,Q3,아우디,0,0,Mid-Large suv,2,,
125,페라리458스페셜,458,페라리,0,0,Coupe,2,458,페라리
