차종,brand,model
현대 더 뉴 그랜저 IG,현대,그랜저
현대 올뉴 아반떼 CN7,현대,아반떼
기아 셀토스 SP2,기아,셀토스
제네시스 G80,제네시스,G80
올뉴카니발,기아,카니발
기아 더뉴 카니발 YP,기아,카니발
K7,기아,K7
제네시스 GV80 JX1,제네시스,GV80
캠리,토요타,캠리
기아 올뉴 모닝 JA,기아,모닝
기아 더 마스터 모하비 HM,기아,모하비
기아 카니발,기아,카니발
더뉴소렌토,기아,쏘렌토
G4렉스턴,쌍용,렉스턴
현대 더뉴그랜드 스타렉스 TQ,현대,스타렉스
포터2,현대,포터2
쌍용 G4 렉스턴 Y400,쌍용,렉스턴
현대 그랜저 HG,현대,그랜저
기아 더 K9 RJ,기아,K9
모하비,기아,모하비
기아 모닝,기아,모닝
현대 F/L 투싼 TL,현대,투싼
르노삼성 QM6 HZG,르노삼성,QM6
트랙스,쉐보레,트랙스
제네시스EQ900,제네시스,EQ900
벤츠 E-클래스 세단 W213,벤츠,E-클래스
그랜저 IG,현대,그랜저
올뉴스포티지,기아,스포티지
아반떼,현대,아반떼
뉴모닝,기아,모닝
스팅어,기아,스팅어
ES300h,렉서스,ES
혼다 어코드,혼다,어코드
SM5,르노삼성,SM5
투싼IX,현대,투싼
기아 더 뉴 HEV 니로 DE,기아,니로
벤츠 new E-Class,벤츠,E-클래스
LF쏘나타,현대,쏘나타
현대 아반떼 HD,현대,아반떼
현대 그랜저 TG,현대,그랜저
렉서스 ES 2020년형,렉서스,ES
기아 올뉴 쏘렌토 UM,기아,쏘렌토
GLC,벤츠,GLC-클래스
기아 스팅어 CK,기아,스팅어
기아 스팅어,기아,스팅어
현대 싼타페 CM,현대,싼타페
코란도C,쌍용,코란도
쏘렌토R,기아,쏘렌토
폭스바겐 티구안,폭스바겐,티구안
BMW 3 시리즈,BMW,3 시리즈
기아 올뉴 모닝 TA,기아,모닝
베라크루즈,현대,베라크루즈
기아 더 뉴 하이브리드 니로 DE,기아,니로
E200,벤츠,E-클래스
C클래스,벤츠,C-클래스
기아 스토닉 YB,기아,스토닉
엑센트,현대,엑센트
아이오닉하이브리드,현대,아이오닉
현대 쏘나타 NF,현대,쏘나타
기아 R 스포티지 SL,기아,스포티지